step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
31,3.826268,10.976320,797.292175,808.268494,1928.258911,776.828491,0.085024,776.913513,13
31,3.826268,10.678432,798.129761,808.808167,1926.972290,777.946777,0.768000,778.714844,13
31,3.826268,10.556608,799.361938,809.918518,1924.330566,779.139099,0.627712,779.766785,13
31,3.826268,10.704479,798.902954,809.607422,1925.069946,778.850098,0.503040,779.353149,13
32,3.551439,10.833281,793.835144,804.668396,1936.886108,773.832153,0.057344,773.889526,13
32,3.551439,10.607456,794.723633,805.331116,1935.292114,774.942627,0.713696,775.656311,13
32,3.551439,10.649536,794.744324,805.393860,1935.141235,774.996948,0.397312,775.394287,13
32,3.551439,10.706400,794.573730,805.280151,1935.414551,774.853271,0.470016,775.323303,13
33,3.631072,10.966721,797.216675,808.183411,1928.461792,777.155579,0.059392,777.214966,13
33,3.631072,10.572639,798.430359,809.002991,1926.508179,778.615173,0.571104,779.186279,13
33,3.631072,10.658848,797.932190,808.591064,1927.489624,777.922485,0.572320,778.494812,13
33,3.631072,10.717505,797.913391,808.630920,1927.394653,778.132690,0.290816,778.423584,13
34,3.503922,10.872800,796.373108,807.245911,1930.701538,776.088440,0.069536,776.157959,13
34,3.503922,10.607776,796.317078,806.924866,1931.469604,776.352417,0.540672,776.893066,13
34,3.503922,10.637664,795.877319,806.514954,1932.451416,775.989197,0.434176,776.423401,13
34,3.503922,10.842272,795.451172,806.293457,1932.982300,775.654175,0.473088,776.127258,13
35,3.548881,10.827648,792.999573,803.827209,1938.912842,773.148315,0.070432,773.218750,13
35,3.548881,10.584800,793.855591,804.440369,1937.435059,774.219116,0.297984,774.517090,13
35,3.548881,10.582912,793.894409,804.477295,1937.346191,774.262695,0.377696,774.640381,13
35,3.548881,10.654400,793.980713,804.635132,1936.966187,774.367920,0.060416,774.428345,13
