step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
9,3.686973,10.704191,30.34588599999995,963.95105,974.655212,3198.158691,943.434814,0.874496,944.309326,13
9,3.686973,10.698336,30.38537599999995,963.956543,974.654907,3198.159424,943.30188,0.967648,944.269531,13
9,3.686973,10.526272,30.505004999999983,963.959167,974.485413,3198.716064,943.182739,0.797696,943.980408,13
9,3.686973,10.658752,30.166258999999968,964.060486,974.719238,3197.948486,943.468628,1.084416,944.552979,13
9,3.686973,11.203968,32.07800299999997,962.910767,974.114746,3199.932861,941.764282,0.272384,942.036743,13
9,3.686973,10.710272,32.40545599999996,963.956665,974.666931,3198.120117,942.183594,0.077824,942.261475,13
9,3.686973,10.736352,31.139648999999963,963.654114,974.390442,3199.027588,942.721375,0.529408,943.250793,13
10,3.766816,10.826529,30.849181999999928,952.451172,963.27771,3235.932861,931.961609,0.466944,932.428528,13
10,3.766816,10.818913,30.50329600000009,952.364929,963.183838,3236.248047,931.986267,0.694304,932.680542,13
10,3.766816,10.720928,30.723388999999997,952.630798,963.351746,3235.684082,931.860352,0.768,932.628357,13
10,3.766816,10.744097,30.46801700000003,952.704041,963.44812,3235.360596,932.238647,0.741376,932.980103,13
10,3.766816,11.088736,31.585265999999933,951.93634,963.025085,3236.781738,931.322083,0.11776,931.439819,13
10,3.766816,10.706112,31.221068999999943,952.295837,963.001953,3236.859131,931.713501,0.067392,931.780884,13
10,3.766816,11.117439,31.72363299999995,952.348267,963.465698,3235.30127,931.653992,0.088064,931.742065,13
10,3.766816,11.013887,31.43487499999992,951.96759,962.981506,3236.927979,931.347168,0.199488,931.546631,13
11,3.780972,10.802879,30.338257,955.602173,966.405029,3225.461182,935.15863,0.908128,936.066772,13
11,3.780972,10.905952,30.82281499999999,955.492859,966.398804,3225.481934,935.024048,0.551936,935.575989,13
11,3.780972,10.796225,30.563232000000085,955.613586,966.40979,3225.445312,935.242371,0.60416,935.846558,13
11,3.780972,10.817024,30.589905000000044,955.59491,966.411926,3225.438232,935.125732,0.69632,935.822021,13
