step,loss,computation_time_ms,communication_time_ms,total_host_time_ms,gflops_per_sec,mfu_percentage
115,2.995154,139.509155,0.000000,143.105604,1396.459371,-100.000000
116,3.272833,139.609085,0.000000,143.201325,1395.459809,-100.000000
117,2.413048,139.933853,0.000000,143.491054,1392.221130,-100.000000
118,3.510774,139.746597,0.000000,143.327999,1394.086661,-100.000000
119,3.883895,139.230560,0.000000,142.776827,1399.253632,-100.000000
120,3.995450,140.852005,0.000000,144.432082,1383.145857,-100.000000
121,4.054516,140.454681,0.000000,144.124467,1387.058553,-100.000000
122,4.315577,140.403168,0.000000,143.959691,1387.567463,-100.000000
123,3.757009,139.164032,0.000000,142.706248,1399.922555,-100.000000
124,4.099522,139.257309,0.000000,142.787611,1398.984862,-100.000000
125,3.401752,138.936890,0.000000,142.453858,1402.211232,-100.000000
126,3.710042,139.820999,0.000000,143.363404,1393.344837,-100.000000
127,3.967040,139.660126,0.000000,143.325182,1394.949820,-100.000000
128,4.484424,139.627747,0.000000,143.196374,1395.273303,-100.000000
129,4.779435,139.639206,0.000000,143.164915,1395.158802,-100.000000
130,3.528266,139.233765,0.000000,142.748569,1399.221429,-100.000000
131,3.812670,138.931580,0.000000,142.611256,1402.264825,-100.000000
132,4.232395,140.643234,0.000000,144.201321,1385.198998,-100.000000
133,4.022161,141.728577,0.000000,145.326777,1374.591291,-100.000000
134,3.585168,139.938629,0.000000,143.503279,1392.173615,-100.000000
135,3.377734,139.873337,0.000000,143.436262,1392.823476,-100.000000
136,3.627430,139.729980,0.000000,143.312168,1394.252447,-100.000000
137,3.492180,139.406342,0.000000,142.982617,1397.489275,-100.000000
138,4.248100,139.243942,0.000000,142.784332,1399.119158,-100.000000
139,3.386423,139.786530,0.000000,143.339528,1393.688418,-100.000000
140,3.976118,139.386887,0.000000,142.916624,1397.684330,-100.000000
141,4.173532,139.537827,0.000000,143.172600,1396.172436,-100.000000
142,3.909881,139.684006,0.000000,143.208261,1394.711343,-100.000000
143,3.477404,142.293625,0.000000,145.888121,1369.132787,-100.000000
144,3.787096,139.898407,0.000000,143.453477,1392.573878,-100.000000
145,3.621316,139.729019,0.000000,143.319751,1394.262039,-100.000000
146,3.332794,145.532837,0.000000,149.272582,1338.659174,-100.000000
147,3.018211,139.181091,0.000000,142.722439,1399.750967,-100.000000
148,2.263496,139.398758,0.000000,142.926154,1397.565302,-100.000000
149,3.856745,139.278976,0.000000,142.810975,1398.767224,-100.000000
150,3.816204,139.965881,0.000000,143.472736,1391.902550,-100.000000
151,3.538681,299.299438,0.000000,306.693555,650.916247,-100.000000
152,3.829657,138.905594,0.000000,142.331015,1402.527154,-100.000000
153,4.160765,139.151138,0.000000,142.594715,1400.052271,-100.000000
154,3.920821,139.491013,0.000000,142.949866,1396.640999,-100.000000
155,4.354544,139.620804,0.000000,143.105014,1395.342684,-100.000000
156,4.114794,140.292740,0.000000,143.945987,1388.659651,-100.000000
